abandon,freedom from artificial constraint
abandonment,total desertion
abbey,"a monastery or society of persons of either sex , secluded from the world and devoted to religion and celibacy"
ability,the quality or state of being able
abode,stay or continuance in a place
abolition,an annulling
absence,want
absolute,"in a plane , the two imaginary circular points at infinity"
absorption,"the act or process of absorbing or sucking in anything , or of being absorbed and made to disappear"
abstract,a brief
abstraction,"an idea or notion of an abstract , or theoretical nature"
absurdity,that which is absurd
abundance,ample sufficiency
abuse,fault
abyss,any deep immeasurable and specifically hell or the bottomless pit
accent,modulation of the voice in speaking
acceptance,the act of accepting
access,"a coming to , or near approach"
accession,"a mode of acquiring property , by which the owner of a corporeal substance which receives an addition by growth , or by labor , has a right to the part or thing added , or the improvement ( provided the thing is not changed into a different species )"
accidental,a nonessential
accommodation,anything furnished which is desired or needful
accompaniment,the harmony of a figured bass
accomplishment,the act of accomplishing
accordance,harmony
accord,concord
account,computation
accumulation,"the act of accumulating , the state of being accumulated , or that which is accumulated"
accuracy,"exact conformity to truth , or to a rule or model"
accusation,"the charge of an offense or crime , or the declaration containing the charge"
achievement,successful performance
acid,a sour substance
acknowledgment,courteous recognition
acquaintance,a person or persons with whom one is acquainted
acquiescence,submission to an injury by the party injured
acquisition,the act or process of acquiring
act,"a decree , edit , law , judgment , resolve , award"
action,the effect of power exerted on one body by another
activity,the state or quality of being active
actor,an advocate or proctor in civil courts or causes
actress,a woman who acts a part
addition,the act of adding two or more things together
address,a formal application to any one
adieu,a farewell
adjective,an accessory
adjustment,"the operation of bringing all the parts of an instrument , as a microscope or telescope , into their proper relative position for use"
administration,the persons collectively who are intrusted with the execution of laws and the superintendence of public affairs
admiral,a naval officer of the highest rank
admiration,an emotion excited by a person or thing possessed of wonderful or high excellence
admirer,one who admires
admission,concession
adoption,reception
adoration,the act of addressing as a god
adult,one who has reached maturity
advance,"improvement or progression , physically , mentally , morally , or socially"
advancement,promotion to a higher place or dignity
advantage,profit
advent,any important arrival
adventure,a daring feat
adventurer,a social pretender on the lookout for advancement
adversary,a member of an opposing or hostile party
advertisement,"a public notice , especially a paid notice in some public print"
advice,intelligence
advocate,"christ , considered as an intercessor"
affair,matter
affectation,artificial show
affection,a quality or property
affect,the emotional complex associated with an idea or mental state
affinity,"that attraction which takes place , at an insensible distance , between the heterogeneous particles of bodies , and unites them to form chemical compounds"
affirmative,that side of question which affirms or maintains the proposition stated
affliction,"a state of pain , distress , or grief"
afternoon,"the part of the day which follows noon , between noon and evening"
