abandon,freedom from artificial constraint
abandonment,the relinquishment by the insured to the underwriters of what may remain of the property insured after a loss or damage by a peril insured against
abbey,"a monastery or society of persons of either sex , secluded from the world and devoted to religion and celibacy"
ability,skill or competence in doing
abode,"place of continuance , or where one dwells"
abolition,abrogation
absence,abstraction ( of mind )
absolute,"in space of three dimensions , the imaginary circle at infinity"
absorption,"the act or process of absorbing or sucking in anything , or of being absorbed and made to disappear"
abstract,a brief
abstraction,"an idea or notion of an abstract , or theoretical nature"
absurdity,an absurd action
abundance,superfluity
abuse,injury
abyss,a vast intellectual or moral depth
accent,"a mark or character used in writing , and serving to regulate the pronunciation"
acceptance,"a receiving what is offered , with approbation , satisfaction , or acquiescence"
access,accessibility
accession,increase by something added
accidental,anything happening accidentally
accommodation,anything furnished which is desired or needful
accompaniment,"something that attends as a circumstance , or which is added to give greater completeness to the principal thing , or by way of ornament , or for the sake of symmetry"
accomplishment,entire performance
accordance,agreement
accord,assent
account,a record of some reckoning
accumulation,"the act of accumulating , the state of being accumulated , or that which is accumulated"
accuracy,exactness
accusation,that of which one is accused
achievement,an obtaining by exertion
acid,a sour substance
acknowledgment,avowal
acquaintance,personal knowledge gained by intercourse short of that of friendship or intimacy
acquiescence,submission to an injury by the party injured
acquisition,the thing acquired or gained
action,the doing of something
activity,agility
act,one of the principal divisions of a play or dramatic work in which a certain definite part of the action is completed
actor,a theatrical performer
actress,a woman who acts a part
addition,augmentation
address,a discourse
adieu,commendation to the care of god at parting
adjective,"a word used with a noun , or substantive , to express a quality of the thing named , or something attributed to it , or to limit or define it , or to specify or describe a thing , as distinct from something else"
adjustment,the condition of being thus adjusted
administration,dispensation
admiral,"a naval officer of high rank , of which there are different grades"
admiration,an emotion excited by a person or thing possessed of wonderful or high excellence
admirer,one who admires
admission,acknowledgment
adoption,the choosing and making that to be one ' s own which originally was not so
adoration,the act of playing honor to a divine being
adult,"a person , animal , or plant grown to full size and strength"
advance,an addition to the price
advancement,an advance of money or value
advantage,superiority
advent,approach
adventure,chance of danger or loss
adventurer,one who adventures
adversary,an opponent
advertisement,"a public notice , especially a paid notice in some public print"
advice,information or notice given
advocate,one who pleads the cause of another
affair,an action or engagement not of sufficient magnitude to be called a battle
affectation,false display
affection,inclination
affect,the emotional complex associated with an idea or mental state
affinity,kinship generally
affirmative,a word or phrase expressing affirmation or assent
affliction,"a state of pain , distress , or grief"
afternoon,"the part of the day which follows noon , between noon and evening"
agency,business of one intrusted with the concerns of another
agent,a factor
age,the latter part of life
aggregate,a mass formed by the union of homogeneous particles
agitation,"the state of being moved with violence , or with irregular action"
agony,"pain so extreme as to cause writhing or contortions of the body , similar to those made in the athletic contests in greece"
agreement,concurrence
agriculture,"the art or science of cultivating the ground , including the harvesting of crops , and the rearing and management of live stock"
aid,the person or thing that promotes or helps in something done
aim,intention
air,"a particular state of the atmosphere , as respects heat , cold , moisture , etc"
aisle,improperly used also for the have
alacrity,"a cheerful readiness , willingness , or promptitude"
alarm,a warning of danger
alcohol,"the spirituous or intoxicating element of fermented or distilled liquors , or more loosely a liquid containing it in considerable quantity"
ale,"a festival in english country places , so called from the liquor drunk"
alert,a sudden attack
alien,"one owing allegiance , or belonging , to another country"
allegiance,devotion
