abandon,freedom from artificial constraint
abandonment,"the relinquishment of a right , claim , or privilege , as to mill site , etc"
abbey,the monastic building or buildings
ability,"power to perform , whether physical , moral , intellectual , conventional , or legal"
abode,residence
abolition,an annulling
absence,destitution
absolute,"in space of three dimensions , the imaginary circle at infinity"
absorption,"the act or process of absorbing or sucking in anything , or of being absorbed and made to disappear"
abstract,a state of separation from other things
abstraction,"an idea or notion of an abstract , or theoretical nature"
absurdity,that which is absurd
abundance,profusion
abuse,physical ill treatment
abyss,the center of an escutcheon
accent,"a mark or character used in writing , and serving to regulate the pronunciation"
acceptance,state of being accepted
access,accessibility
accession,increase by something added
accidental,"a sharp , flat , or natural , occurring not at the commencement of a piece of music as the signature , but before a particular note"
accommodation,adaptation
accompaniment,"a part performed by instruments , accompanying another part or parts performed by voices"
accomplishment,the act of accomplishing
accordance,agreement
accord,consent
account,"a written or printed statement of business dealings or debts and credits , and also of other things subjected to a reckoning or review"
accumulation,"the act of accumulating , the state of being accumulated , or that which is accumulated"
accuracy,precision
accusation,"the charge of an offense or crime , or the declaration containing the charge"
achievement,"something accomplished by valor , boldness , or praiseworthy exertion"
acid,a sour substance
acknowledgment,an expression of thanks
acquaintance,"a state of being acquainted , or of having intimate , or more than slight or superficial , knowledge"
acquiescence,tacit concurrence in the action of another
acquisition,an acquirement
act,"a formal solemn writing , expressing that something has been done"
action,the effect of power exerted on one body by another
activity,vigorous action or operation
actor,a doer
actress,a woman who acts a part
addition,the act of adding two or more things together
address,a discourse
adieu,a farewell
adjective,"a word used with a noun , or substantive , to express a quality of the thing named , or something attributed to it , or to limit or define it , or to specify or describe a thing , as distinct from something else"
adjustment,"the act of adjusting , or condition of being adjusted"
administration,direction
admiral,a handsome butterfly of europe and america
admiration,wonder mingled with approbation or delight
admirer,one who admires
admission,the act or practice of admitting
adoption,reception
adoration,the worship paid to god
adult,"a person , animal , or plant grown to full size and strength"
advancement,furtherance
advance,the act of advancing or moving forward or upward
advantage,profit
advent,any important arrival
adventure,a remarkable occurrence
adventurer,a social pretender on the lookout for advancement
adversary,an antagonist
advertisement,"a public notice , especially a paid notice in some public print"
advice,information or notice given
advocate,a counselor
affair,that which is done or is to be done
affectation,false display
affection,tendency
affect,the emotional complex associated with an idea or mental state
