abandon,a complete giving up to natural impulses
abandon,careless freedom or ease
ability,capacity
ability,skill or competence in doing
abode,a habitation
abolition,abrogation
absence,abstraction ( of mind )
absence,withdrawal
absorption,an imbibing or reception by molecular or chemical action
absorption,"in living organisms , the process by which the materials of growth and nutrition are absorbed and conveyed to the tissues and organs"
abstract,a state of separation from other things
abstraction,withdrawal
absurdity,"the quality of being absurd or inconsistent with obvious truth , reason , or sound judgment"
abundance,great plenty
abundance,superfluity
abundance,"wealth : -- strictly applicable to quantity only , but sometimes used of number"
abuse,crime
abuse,injury
abyss,infinite time
abyss,the center of an escutcheon
accent,a mark to indicate the quality of sound of the vowel marked
acceptance,state of being accepted
access,accessibility
access,admittance
accidental,a property which is not essential
accommodation,adaptation
accompaniment,"a part performed by instruments , accompanying another part or parts performed by voices"
accompaniment,that which accompanies
accomplishment,fulfillment
accord,concord
account,a reckoning
account,"a statement in general of reasons , causes , grounds , etc"
account,computation
accusation,"the charge of an offense or crime , or the declaration containing the charge"
achievement,"something accomplished by valor , boldness , or praiseworthy exertion"
acknowledgment,avowal
acknowledgment,confession
acquaintance,a person or persons with whom one is acquainted
acquiescence,submission to an injury by the party injured
act,"a decree , edit , law , judgment , resolve , award"
action,demeanor
action,the effect of power exerted on one body by another
action,"the event or connected series of events , either real or imaginary , forming the subject of a play , poem , or other composition"
actor,a doer
actor,"one who acts , or takes part in any affair"
act,the result of public deliberation
addition,increase
adieu,commendation to the care of god at parting
adjective,an accessory
administration,the executive part of government
administration,the persons collectively who are intrusted with the execution of laws and the superintendence of public affairs
admiral,"a naval officer of high rank , of which there are different grades"
admission,power or permission to enter
adoration,fervent devotion
adoration,homage paid to one in high esteem
adult,"a person , animal , or plant grown to full size and strength"
advancement,an advance of money or value
advancement,progression
advancement,"the act of advancing , or the state of being advanced"
advantage,mastery
advantage,"superiority of state , or that which gives it"
adventure,chance
adventure,hap
adventurer,one who seeks his fortune in new and hazardous or perilous enterprises
advocate,a pleader
advocate,"christ , considered as an intercessor"
affair,an action or engagement not of sufficient magnitude to be called a battle
affair,matter
affectation,artificial show
affection,an attribute
affinity,conformity
affinity,connection
affinity,relation
affliction,an instance of grievous distress
afternoon,"the part of the day which follows noon , between noon and evening"
age,an advanced period of life
agency,business of one intrusted with the concerns of another
agency,"the office of an agent , or factor"
agent,a deputy
agent,an active power or cause
age,the latter part of life
aggregate,"a mass , assemblage , or sum of particulars"
agitation,a stirring up or arousing
agitation,commotion
agitation,disturbance of tranquillity
agony,paroxysm of grief
agreement,a contract
agreement,concurrence
aid,help
aid,succor
aid,the person or thing that promotes or helps in something done
aim,purpose
aim,the line of fire
aisle,improperly used also for the have
